CD_CVM;DENOM_CIA;CNPJ_CIA;SETOR_ATIV;Numero_Acoes;Ticker;Tipo_Acao;Ano;Versao;Ativo Total;Ativo Circulante;Passivo Total;Passivo Circulante;Empréstimos e Financiamentos - Circulante;Passivo Não Circulante;Empréstimos e Financiamentos - Não Circulante;Patrimônio Líquido Consolidado;Receita de Venda de Bens e/ou Serviços;Custo dos Bens e/ou Serviços Vendidos;Resultado Bruto;Resultado Antes do Resultado Financeiro e dos Tributos;Resultado Financeiro;Receitas Financeiras;Despesas Financeiras;Resultado Antes dos Tributos sobre o Lucro;Lucro/Prejuízo Consolidado do Período;Caixa Líquido Atividades Operacionais;Pagamento de Dividendos;Pagamento de Dividendos à Controladora;Pagamento de Dividendos a Acionistas Não Controladores;Pagamento de Juros sobre Capital Próprio
94;PANATLANTICA S.A.;92.693.019/0001-89;Metalurgia e Siderurgia;22907083;PATI3;Ordinárias;2023;DFP;1899576;1575443;1899576;557280;3891;501923;371742;840373;2331132;-2142911;188221;-85058;103163;112842;-127864;-15022;88141;329349;157585;;;
94;PANATLANTICA S.A.;92.693.019/0001-89;Metalurgia e Siderurgia;22907083;PATI3;Ordinárias;2024;DFP;1564782;1163978;1564782;457759;4160;266459;233923;840564;1879266;-1699553;179713;-123988;55725;72408;-95271;-22863;32862;271152;44432;;;
94;PANATLANTICA S.A.;92.693.019/0001-89;Metalurgia e Siderurgia;1025286; PATI4;Preferenciais;2023;DFP;1899576;1575443;1899576;557280;3891;501923;371742;840373;2331132;-2142911;188221;-85058;103163;112842;-127864;-15022;88141;329349;157585;;;
94;PANATLANTICA S.A.;92.693.019/0001-89;Metalurgia e Siderurgia;1025286; PATI4;Preferenciais;2024;DFP;1564782;1163978;1564782;457759;4160;266459;233923;840564;1879266;-1699553;179713;-123988;55725;72408;-95271;-22863;32862;271152;44432;;;
906;BCO BRADESCO S.A.;60.746.948/0001-12;Bancos;5296370781;BBDC3;Ordinárias;2023;DFP;1792288792;126185421;1792288792;13341324;;1239685337;593422900;332169978;205913274;-130801913;75111361;-50489751;24621610;;;-3164840;21456770;49767703;-55588276;;;
906;BCO BRADESCO S.A.;60.746.948/0001-12;Bancos;5296370781;BBDC3;Ordinárias;2024;DFP;1927523249;186790580;1927523249;15542220;;1323281107;625792757;370606996;224457793;-156376055;68081738;-57873387;10208351;;;4294414;14502765;-177628;-87026367;;;
906;BCO BRADESCO S.A.;60.746.948/0001-12;Bancos;5280641247; BBDC4;Preferenciais;2023;DFP;1792288792;126185421;1792288792;13341324;;1239685337;593422900;332169978;205913274;-130801913;75111361;-50489751;24621610;;;-3164840;21456770;49767703;-55588276;;;
906;BCO BRADESCO S.A.;60.746.948/0001-12;Bancos;5280641247; BBDC4;Preferenciais;2024;DFP;1927523249;186790580;1927523249;15542220;;1323281107;625792757;370606996;224457793;-156376055;68081738;-57873387;10208351;;;4294414;14502765;-177628;-87026367;;;
1023;BCO BRASIL S.A.;00.000.000/0001-91;Bancos;5708390161;BBAS3;Ordinárias;2023;DFP;2008168606;68826279;2008168606;2764797;;1753201995;753263047;21957583;236549051;-162202484;74346567;-35893006;38453561;;;-8452382;30001179;66057337;-215471;;;
1023;BCO BRASIL S.A.;00.000.000/0001-91;Bancos;5708390161;BBAS3;Ordinárias;2024;DFP;2153878452;56999814;2153878452;2509742;;1884405380;811943803;21787037;265438605;-176689874;88748731;-47601540;41147191;;;-7981600;33165591;16740785;-258197;;;
1155;BANESTES S.A. - BCO EST ESPIRITO SANTO;28.127.603/0001-78;Bancos;254106600;BEES3;Ordinárias;2023;DFP;36738657;4466252;36738657;0;;33170888;20182015;184624;4784599;-3538253;1246346;-739391;506955;;;-162313;344642;5441158;-184307;;;
1155;BANESTES S.A. - BCO EST ESPIRITO SANTO;28.127.603/0001-78;Bancos;254106600;BEES3;Ordinárias;2024;DFP;41413000;1814140;41413000;0;;37706162;22391515;176006;5130679;-3686397;1444282;-1011553;432729;;;-108926;323803;115287;-142322;;;
1155;BANESTES S.A. - BCO EST ESPIRITO SANTO;28.127.603/0001-78;Bancos;93397546; BEES4;Preferenciais;2023;DFP;36738657;4466252;36738657;0;;33170888;20182015;184624;4784599;-3538253;1246346;-739391;506955;;;-162313;344642;5441158;-184307;;;
1155;BANESTES S.A. - BCO EST ESPIRITO SANTO;28.127.603/0001-78;Bancos;93397546; BEES4;Preferenciais;2024;DFP;41413000;1814140;41413000;0;;37706162;22391515;176006;5130679;-3686397;1444282;-1011553;432729;;;-108926;323803;115287;-142322;;;
1210;BCO ESTADO DO RIO GRANDE DO SUL S.A.;92.702.067/0001-96;Bancos;205064841;BRSR3;Ordinárias;2023;DFP;113659790;3439759;113659790;1840679;1170381;97036826;67615882;2631798;13016625;-9064654;3951971;-3191545;760426;;;81816;842242;840962;-3071752;;;
1210;BCO ESTADO DO RIO GRANDE DO SUL S.A.;92.702.067/0001-96;Bancos;205064841;BRSR3;Ordinárias;2024;DFP;125667007;5665478;125667007;1467921;1450685;109187057;76761083;2668103;14479371;-9858879;4620492;-3442847;1177645;;;-165211;1012434;6055393;-94957;;;
1210;BCO ESTADO DO RIO GRANDE DO SUL S.A.;92.702.067/0001-96;Bancos;1373091; BRSR5;Preferenciais;2023;DFP;113659790;3439759;113659790;1840679;1170381;97036826;67615882;2631798;13016625;-9064654;3951971;-3191545;760426;;;81816;842242;840962;-3071752;;;
1210;BCO ESTADO DO RIO GRANDE DO SUL S.A.;92.702.067/0001-96;Bancos;1373091; BRSR5;Preferenciais;2024;DFP;125667007;5665478;125667007;1467921;1450685;109187057;76761083;2668103;14479371;-9858879;4620492;-3442847;1177645;;;-165211;1012434;6055393;-94957;;;
1210;BCO ESTADO DO RIO GRANDE DO SUL S.A.;92.702.067/0001-96;Bancos;202536545; BRSR6;Preferenciais;2023;DFP;113659790;3439759;113659790;1840679;1170381;97036826;67615882;2631798;13016625;-9064654;3951971;-3191545;760426;;;81816;842242;840962;-3071752;;;
1210;BCO ESTADO DO RIO GRANDE DO SUL S.A.;92.702.067/0001-96;Bancos;202536545; BRSR6;Preferenciais;2024;DFP;125667007;5665478;125667007;1467921;1450685;109187057;76761083;2668103;14479371;-9858879;4620492;-3442847;1177645;;;-165211;1012434;6055393;-94957;;;
1325;BCO MERCANTIL DO BRASIL S.A.;17.184.037/0001-10;Bancos;65155744;BMEB3;Ordinárias;2023;DFP;15487360;1802630;15487360;0;;12509756;10841812;270495;3539861;-1568891;1970970;-1707588;263382;;;-63531;199851;234126;159520;;;
1325;BCO MERCANTIL DO BRASIL S.A.;17.184.037/0001-10;Bancos;65155744;BMEB3;Ordinárias;2024;DFP;19672000;2793186;19672000;0;;16419138;13897527;259185;4707585;-2132336;2575249;-2082361;492888;;;-97511;395377;-107544;223454;;;
1325;BCO MERCANTIL DO BRASIL S.A.;17.184.037/0001-10;Bancos;39327336; BMEB4;Preferenciais;2023;DFP;15487360;1802630;15487360;0;;12509756;10841812;270495;3539861;-1568891;1970970;-1707588;263382;;;-63531;199851;234126;159520;;;
1325;BCO MERCANTIL DO BRASIL S.A.;17.184.037/0001-10;Bancos;39327336; BMEB4;Preferenciais;2024;DFP;19672000;2793186;19672000;0;;16419138;13897527;259185;4707585;-2132336;2575249;-2082361;492888;;;-97511;395377;-107544;223454;;;
1562;BAUMER S.A.;61.374.161/0001-30;Metalurgia e Siderurgia;4888110;BALM3;Ordinárias;2023;DFP;248609;175989;248609;69990;2833;44029;18976;134590;164544;-68618;95926;-77751;18175;17449;-25947;-8498;9677;3133;-20264;;;
1562;BAUMER S.A.;61.374.161/0001-30;Metalurgia e Siderurgia;4888110;BALM3;Ordinárias;2024;DFP;249925;176902;249925;62641;2789;41685;16340;145599;169950;-67074;102876;-81288;21588;14019;-20993;-6974;14614;23636;-13348;;;
1562;BAUMER S.A.;61.374.161/0001-30;Metalurgia e Siderurgia;4896400; BALM4;Preferenciais;2023;DFP;248609;175989;248609;69990;2833;44029;18976;134590;164544;-68618;95926;-77751;18175;17449;-25947;-8498;9677;3133;-20264;;;
1562;BAUMER S.A.;61.374.161/0001-30;Metalurgia e Siderurgia;4896400; BALM4;Preferenciais;2024;DFP;249925;176902;249925;62641;2789;41685;16340;145599;169950;-67074;102876;-81288;21588;14019;-20993;-6974;14614;23636;-13348;;;
2100;CAMBUCI S.A.;61.088.894/0001-08;Têxtil e Vestuário;41839573;CAMB3;Ordinárias;2023;DFP;386493;182934;386493;107745;14849;107633;71832;171115;440404;-242305;198099;-108923;89176;17647;-47091;-29444;59732;42749;-133416;;;
2100;CAMBUCI S.A.;61.088.894/0001-08;Têxtil e Vestuário;41839573;CAMB3;Ordinárias;2024;DFP;335593;147281;335593;66356;9823;36405;3095;232832;459161;-241528;217633;-119561;98072;16254;-40910;-24656;73416;136479;-99537;;;
2429;IRANI PAPEL E EMBALAGEM S.A.;92.791.243/0001-03;Embalagens;230501219;RANI3;Ordinárias;2023;DFP;3515338;1505181;3515338;577460;56385;1812793;1518580;1125085;1686666;-878594;808072;-228209;579863;102825;-164328;-61503;518360;377523;-8436;;;
2429;IRANI PAPEL E EMBALAGEM S.A.;92.791.243/0001-03;Embalagens;230501219;RANI3;Ordinárias;2024;DFP;3467066;1134869;3467066;302837;58601;1884525;1570322;1279704;1594245;-907647;686598;-135185;551413;193113;-238687;-45574;505839;269711;-9409;;;
2437;CENTRAIS ELET BRAS S.A. - ELETROBRAS;00.001.180/0001-26;Emp. Adm. Part. - Energia Elétrica;1975675166;ELET3;Ordinárias;2023;DFP;270217462;49623127;270217462;26440876;0;132747950;52110601;111028636;34074233;-15857610;18216623;-10495818;7720805;6079243;-10452838;-4373595;3347210;4799820;8500000;;;
2437;CENTRAIS ELET BRAS S.A. - ELETROBRAS;00.001.180/0001-26;Emp. Adm. Part. - Energia Elétrica;1975675166;ELET3;Ordinárias;2024;DFP;267057654;48022312;267057654;27159791;0;127433219;48742223;112464644;37158908;-18673499;18485409;-4754911;13730498;3973540;-15975661;-12002121;1728377;8235338;-13763329;;;
2437;CENTRAIS ELET BRAS S.A. - ELETROBRAS;00.001.180/0001-26;Emp. Adm. Part. - Energia Elétrica;142559; ELET5;Preferenciais;2023;DFP;270217462;49623127;270217462;26440876;0;132747950;52110601;111028636;34074233;-15857610;18216623;-10495818;7720805;6079243;-10452838;-4373595;3347210;4799820;8500000;;;
2437;CENTRAIS ELET BRAS S.A. - ELETROBRAS;00.001.180/0001-26;Emp. Adm. Part. - Energia Elétrica;142559; ELET5;Preferenciais;2024;DFP;267057654;48022312;267057654;27159791;0;127433219;48742223;112464644;37158908;-18673499;18485409;-4754911;13730498;3973540;-15975661;-12002121;1728377;8235338;-13763329;;;
2437;CENTRAIS ELET BRAS S.A. - ELETROBRAS;00.001.180/0001-26;Emp. Adm. Part. - Energia Elétrica;272578793; ELET6;Preferenciais;2023;DFP;270217462;49623127;270217462;26440876;0;132747950;52110601;111028636;34074233;-15857610;18216623;-10495818;7720805;6079243;-10452838;-4373595;3347210;4799820;8500000;;;
2437;CENTRAIS ELET BRAS S.A. - ELETROBRAS;00.001.180/0001-26;Emp. Adm. Part. - Energia Elétrica;272578793; ELET6;Preferenciais;2024;DFP;267057654;48022312;267057654;27159791;0;127433219;48742223;112464644;37158908;-18673499;18485409;-4754911;13730498;3973540;-15975661;-12002121;1728377;8235338;-13763329;;;
2453;CIA ENERGETICA DE MINAS GERAIS - CEMIG;17.155.730/0001-64;Energia Elétrica;956601779;CMIG3;Ordinárias;2023;DFP;53670837;13465203;53670837;11205178;260015;20682393;9624001;21783266;34462808;-27652015;6810793;-1123616;5687177;1499794;-3066415;-1566621;4120556;6544402;-2613340;;;
2453;CIA ENERGETICA DE MINAS GERAIS - CEMIG;17.155.730/0001-64;Energia Elétrica;956601779;CMIG3;Ordinárias;2024;DFP;55000080;11869068;55000080;13092816;238749;17252071;7201431;24655193;36849769;-28465929;8383840;-1153714;7230126;1272079;-1651045;-378966;6851160;6644278;-2678503;;;
2453;CIA ENERGETICA DE MINAS GERAIS - CEMIG;17.155.730/0001-64;Energia Elétrica;1904080104; CMIG4;Preferenciais;2023;DFP;53670837;13465203;53670837;11205178;260015;20682393;9624001;21783266;34462808;-27652015;6810793;-1123616;5687177;1499794;-3066415;-1566621;4120556;6544402;-2613340;;;
2453;CIA ENERGETICA DE MINAS GERAIS - CEMIG;17.155.730/0001-64;Energia Elétrica;1904080104; CMIG4;Preferenciais;2024;DFP;55000080;11869068;55000080;13092816;238749;17252071;7201431;24655193;36849769;-28465929;8383840;-1153714;7230126;1272079;-1651045;-378966;6851160;6644278;-2678503;;;
2461;CENTRAIS ELET DE SANTA CATARINA S.A.;83.878.892/0001-55;Energia Elétrica;15527137;CLSC3;Ordinárias;2023;DFP;11628067;3678616;11628067;3757419;227670;4987472;1941569;2883176;9899450;-8460469;1438981;-636634;802347;455591;-538284;-82693;719654;867915;-143270;;;
2461;CENTRAIS ELET DE SANTA CATARINA S.A.;83.878.892/0001-55;Energia Elétrica;15527137;CLSC3;Ordinárias;2024;DFP;12302261;3409987;12302261;3730676;224899;5639018;2648942;2932567;10402608;-8745056;1657552;-832449;825103;680604;-822392;-141788;683315;450294;-179469;;;
2461;CENTRAIS ELET DE SANTA CATARINA S.A.;83.878.892/0001-55;Energia Elétrica;23044454; CLSC4;Preferenciais;2023;DFP;11628067;3678616;11628067;3757419;227670;4987472;1941569;2883176;9899450;-8460469;1438981;-636634;802347;455591;-538284;-82693;719654;867915;-143270;;;
2461;CENTRAIS ELET DE SANTA CATARINA S.A.;83.878.892/0001-55;Energia Elétrica;23044454; CLSC4;Preferenciais;2024;DFP;12302261;3409987;12302261;3730676;224899;5639018;2648942;2932567;10402608;-8745056;1657552;-832449;825103;680604;-822392;-141788;683315;450294;-179469;;;
3069;CIA FERRO LIGAS DA BAHIA - FERBASA;15.141.799/0001-03;Metalurgia e Siderurgia;117600000;FESA3;Ordinárias;2023;DFP;4067385;1694947;4067385;505951;136180;520547;268163;3040887;3139016;-1686087;1452929;-291960;1160969;208764;-125371;83393;1244362;1194604;0;;;
3069;CIA FERRO LIGAS DA BAHIA - FERBASA;15.141.799/0001-03;Metalurgia e Siderurgia;117600000;FESA3;Ordinárias;2024;DFP;4110697;1584250;4110697;499147;104064;420063;199164;3191487;2435135;-1829478;605657;-301926;303731;189290;-73384;115906;419637;476565;0;;;
3069;CIA FERRO LIGAS DA BAHIA - FERBASA;15.141.799/0001-03;Metalurgia e Siderurgia;221267600; FESA4;Preferenciais;2023;DFP;4067385;1694947;4067385;505951;136180;520547;268163;3040887;3139016;-1686087;1452929;-291960;1160969;208764;-125371;83393;1244362;1194604;0;;;
3069;CIA FERRO LIGAS DA BAHIA - FERBASA;15.141.799/0001-03;Metalurgia e Siderurgia;221267600; FESA4;Preferenciais;2024;DFP;4110697;1584250;4110697;499147;104064;420063;199164;3191487;2435135;-1829478;605657;-301926;303731;189290;-73384;115906;419637;476565;0;;;
3077;CIA FIACAO TECIDOS CEDRO CACHOEIRA;17.245.234/0001-00;Têxtil e Vestuário;5707104;CEDO3;Ordinárias;2023;DFP;879016;486119;879016;541456;21719;217742;109501;119818;1227649;-1025281;202368;-133507;68861;30011;-122545;-92534;-23673;-21023;153765;;;
3077;CIA FIACAO TECIDOS CEDRO CACHOEIRA;17.245.234/0001-00;Têxtil e Vestuário;5707104;CEDO3;Ordinárias;2024;DFP;882193;475305;882193;340379;22212;341807;240292;200007;1115439;-779924;335515;-146816;188699;14725;-102239;-87514;101185;97548;296666;;;
3077;CIA FIACAO TECIDOS CEDRO CACHOEIRA;17.245.234/0001-00;Têxtil e Vestuário;4292896; CEDO4;Preferenciais;2023;DFP;879016;486119;879016;541456;21719;217742;109501;119818;1227649;-1025281;202368;-133507;68861;30011;-122545;-92534;-23673;-21023;153765;;;
3077;CIA FIACAO TECIDOS CEDRO CACHOEIRA;17.245.234/0001-00;Têxtil e Vestuário;4292896; CEDO4;Preferenciais;2024;DFP;882193;475305;882193;340379;22212;341807;240292;200007;1115439;-779924;335515;-146816;188699;14725;-102239;-87514;101185;97548;296666;;;
3190;REDE ENERGIA PARTICIPAÇÕES S.A.;61.584.140/0001-49;Energia Elétrica;2110323374;REDE3;Ordinárias;2023;DFP;25256054;6838370;25256054;5233583;11471;14510455;8912960;5512016;15119769;-10756848;4362921;-911381;3451540;765936;-1689614;-923678;2527862;3818142;-1941664;;;
3190;REDE ENERGIA PARTICIPAÇÕES S.A.;61.584.140/0001-49;Energia Elétrica;2110323374;REDE3;Ordinárias;2024;DFP;27652729;7989174;27652729;6599184;11150;15085109;9710812;5968436;16131441;-11087816;5043625;-1019333;4024292;744154;-1827296;-1083142;2941150;4231935;-2078612;;;
3980;GERDAU S.A.;33.611.500/0001-19;Metalurgia e Siderurgia;717937719;GGBR3;Ordinárias;2023;DFP;73798652;31257422;73798652;13462581;1056325;14037878;9486242;46298193;82412210;-63661156;18751054;-999601;17751453;645441;-2537867;-1892426;15859027;11150338;-5891690;;;
3980;GERDAU S.A.;33.611.500/0001-19;Metalurgia e Siderurgia;717937719;GGBR3;Ordinárias;2024;DFP;74885144;29197937;74885144;11284612;845848;14361669;9095686;49238863;68916447;-57583992;11332455;-879728;10452727;1156021;-2262143;-1106122;9346605;11138710;-2683328;;;
3980;GERDAU S.A.;33.611.500/0001-19;Metalurgia e Siderurgia;1271778117; GGBR4;Preferenciais;2023;DFP;73798652;31257422;73798652;13462581;1056325;14037878;9486242;46298193;82412210;-63661156;18751054;-999601;17751453;645441;-2537867;-1892426;15859027;11150338;-5891690;;;
3980;GERDAU S.A.;33.611.500/0001-19;Metalurgia e Siderurgia;1271778117; GGBR4;Preferenciais;2024;DFP;74885144;29197937;74885144;11284612;845848;14361669;9095686;49238863;68916447;-57583992;11332455;-879728;10452727;1156021;-2262143;-1106122;9346605;11138710;-2683328;;;
4030;CIA SIDERURGICA NACIONAL;33.042.730/0001-04;Metalurgia e Siderurgia;1361286455;CSNA3;Ordinárias;2023;DFP;85354359;30612360;85354359;22475119;422495;41063196;35725106;21816044;44362120;-31054016;13308104;-5666642;7641462;-78220;-3436805;-3515025;4126437;2042793;;;;
4030;CIA SIDERURGICA NACIONAL;33.042.730/0001-04;Metalurgia e Siderurgia;1361286455;CSNA3;Ordinárias;2024;DFP;91529720;33077700;91529720;25017103;469247;46827779;37245708;19684838;45437950;-33475189;11962761;-6776012;5186749;1655747;-5807129;-4151382;1035367;7292608;;;;
4030;CIA SIDERURGICA NACIONAL;33.042.730/0001-04;Metalurgia e Siderurgia;1361286455;CSNA3;Ordinárias;2023;DFP;85354359;30612360;85354359;22475119;422495;41063196;35725106;21816044;44362120;-31054016;13308104;-5666642;7641462;-78220;-3436805;-3515025;4126437;2042793;;;;
4030;CIA SIDERURGICA NACIONAL;33.042.730/0001-04;Metalurgia e Siderurgia;1361286455;CSNA3;Ordinárias;2024;DFP;91529720;33077700;91529720;25017103;469247;46827779;37245708;19684838;45437950;-33475189;11962761;-6776012;5186749;1655747;-5807129;-4151382;1035367;7292608;;;;
4146;KARSTEN S.A.;82.640.558/0001-04;Têxtil e Vestuário;2878404;CTKA3;Ordinárias;2023;DFP;602326;409198;602326;260528;36804;496898;445224;-155100;612582;-394528;218054;-199571;18483;24459;-61139;-36680;-18197;48882;-65989;;;
4146;KARSTEN S.A.;82.640.558/0001-04;Têxtil e Vestuário;2878404;CTKA3;Ordinárias;2024;DFP;645471;450868;645471;264055;47010;494356;441125;-112940;667929;-382198;285731;-218036;67695;9258;-30999;-21741;45954;128579;-135865;;;
4146;KARSTEN S.A.;82.640.558/0001-04;Têxtil e Vestuário;3326971; CTKA4;Preferenciais;2023;DFP;602326;409198;602326;260528;36804;496898;445224;-155100;612582;-394528;218054;-199571;18483;24459;-61139;-36680;-18197;48882;-65989;;;
4146;KARSTEN S.A.;82.640.558/0001-04;Têxtil e Vestuário;3326971; CTKA4;Preferenciais;2024;DFP;645471;450868;645471;264055;47010;494356;441125;-112940;667929;-382198;285731;-218036;67695;9258;-30999;-21741;45954;128579;-135865;;;
4170;VALE S.A.;33.592.510/0001-54;Extração Mineral;4268778775;VALE3;Ordinárias;2023;DFP;453387000;81009000;453387000;72478000;4507000;186015000;63778000;194894000;226508000;-124195000;102313000;-11987000;90326000;2685000;8693000;11378000;101704000;58201000;-11764000;;;
4170;VALE S.A.;33.592.510/0001-54;Extração Mineral;4268778775;VALE3;Ordinárias;2024;DFP;455984000;90529000;455984000;70948000;4325000;186711000;62464000;198325000;208066000;-120016000;88050000;-22778000;65272000;2159000;-11877000;-9718000;55554000;65905000;-3215000;;;
4170;VALE S.A.;33.592.510/0001-54;Extração Mineral;4268778775;VALE3;Ordinárias;2023;DFP;453387000;81009000;453387000;72478000;4507000;186015000;63778000;194894000;226508000;-124195000;102313000;-11987000;90326000;2685000;8693000;11378000;101704000;58201000;-11764000;;;
4170;VALE S.A.;33.592.510/0001-54;Extração Mineral;4268778775;VALE3;Ordinárias;2024;DFP;455984000;90529000;455984000;70948000;4325000;186711000;62464000;198325000;208066000;-120016000;88050000;-22778000;65272000;2159000;-11877000;-9718000;55554000;65905000;-3215000;;;
4537;GRAZZIOTIN S.A.;92.012.467/0001-70;Comércio (Atacado e Varejo);8562452;CGRA3;Ordinárias;2023;DFP;1171754;522135;1171754;213109;26214;126284;0;832361;682351;-310535;371816;-276324;95492;71937;-31931;40006;135498;229308;25000;;;
4537;GRAZZIOTIN S.A.;92.012.467/0001-70;Comércio (Atacado e Varejo);8562452;CGRA3;Ordinárias;2024;DFP;1274618;570025;1274618;249976;34330;140403;0;884239;676829;-325269;351560;-294761;56799;88919;-37044;51875;108674;152965;0;;;
4537;GRAZZIOTIN S.A.;92.012.467/0001-70;Comércio (Atacado e Varejo);11911464; CGRA4;Preferenciais;2023;DFP;1171754;522135;1171754;213109;26214;126284;0;832361;682351;-310535;371816;-276324;95492;71937;-31931;40006;135498;229308;25000;;;
4537;GRAZZIOTIN S.A.;92.012.467/0001-70;Comércio (Atacado e Varejo);11911464; CGRA4;Preferenciais;2024;DFP;1274618;570025;1274618;249976;34330;140403;0;884239;676829;-325269;351560;-294761;56799;88919;-37044;51875;108674;152965;0;;;
4669;GUARARAPES CONFECCOES S.A.;08.402.943/0001-52;Têxtil e Vestuário;499197440;GUAR3;Ordinárias;2023;DFP;15221939;10203609;15221939;6307421;227773;3651430;2706111;5263088;8458663;-3537534;4921129;-4558587;362542;253884;-660575;-406691;-44149;1107540;0;;;
4669;GUARARAPES CONFECCOES S.A.;08.402.943/0001-52;Têxtil e Vestuário;499197440;GUAR3;Ordinárias;2024;DFP;14272668;9142435;14272668;5519087;321948;3530416;2480252;5223165;8795386;-3653993;5141393;-4713358;428035;289348;-738597;-449249;-21214;1327995;0;;;
4820;BRASKEM S.A.;42.150.391/0001-70;Petroquímicos e Borracha;451668652;BRKM3;Ordinárias;2023;DFP;88049000;34457000;88049000;24186000;828000;57755000;34334000;6108000;96519000;-85161000;11358000;-7086000;4272000;1488000;-5713000;-4225000;47000;8951000;-3856000;;;
4820;BRASKEM S.A.;42.150.391/0001-70;Petroquímicos e Borracha;451668652;BRKM3;Ordinárias;2024;DFP;91741000;37441000;91741000;24494000;828000;63968000;40207000;3279000;70569000;-67548000;3021000;-5813000;-2792000;1010000;-4410000;-3400000;-6192000;-2272000;-2155000;;;
4820;BRASKEM S.A.;42.150.391/0001-70;Petroquímicos e Borracha;345060365; BRKM5;Preferenciais;2023;DFP;88049000;34457000;88049000;24186000;828000;57755000;34334000;6108000;96519000;-85161000;11358000;-7086000;4272000;1488000;-5713000;-4225000;47000;8951000;-3856000;;;
4820;BRASKEM S.A.;42.150.391/0001-70;Petroquímicos e Borracha;345060365; BRKM5;Preferenciais;2024;DFP;91741000;37441000;91741000;24494000;828000;63968000;40207000;3279000;70569000;-67548000;3021000;-5813000;-2792000;1010000;-4410000;-3400000;-6192000;-2272000;-2155000;;;
4820;BRASKEM S.A.;42.150.391/0001-70;Petroquímicos e Borracha;478790; BRKM6;Preferenciais;2023;DFP;88049000;34457000;88049000;24186000;828000;57755000;34334000;6108000;96519000;-85161000;11358000;-7086000;4272000;1488000;-5713000;-4225000;47000;8951000;-3856000;;;
4820;BRASKEM S.A.;42.150.391/0001-70;Petroquímicos e Borracha;478790; BRKM6;Preferenciais;2024;DFP;91741000;37441000;91741000;24494000;828000;63968000;40207000;3279000;70569000;-67548000;3021000;-5813000;-2792000;1010000;-4410000;-3400000;-6192000;-2272000;-2155000;;;
5258;RAIA DROGASIL S.A.;61.585.865/0001-51;Comércio (Atacado e Varejo);1713003817;RADL3;Ordinárias;2023;DFP;17185306;9577068;17185306;6367168;561624;5415197;2131548;5402941;29067380;-20257912;8809468;-6970144;1839324;293586;-939701;-646115;1193209;1682255;-668493;;;
5258;RAIA DROGASIL S.A.;61.585.865/0001-51;Comércio (Atacado e Varejo);1713003817;RADL3;Ordinárias;2024;DFP;20094412;11561674;20094412;8079497;636393;5986614;2526102;6028301;33973790;-23766426;10207364;-8126875;2080489;428735;-1292531;-863796;1216693;1785327;-269691;;;
5258;RAIA DROGASIL S.A.;61.585.865/0001-51;Comércio (Atacado e Varejo);1713003817;RADL3;Ordinárias;2023;DFP;17185306;9577068;17185306;6367168;561624;5415197;2131548;5402941;29067380;-20257912;8809468;-6970144;1839324;293586;-939701;-646115;1193209;1682255;-668493;;;
5258;RAIA DROGASIL S.A.;61.585.865/0001-51;Comércio (Atacado e Varejo);1713003817;RADL3;Ordinárias;2024;DFP;20094412;11561674;20094412;8079497;636393;5986614;2526102;6028301;33973790;-23766426;10207364;-8126875;2080489;428735;-1292531;-863796;1216693;1785327;-269691;;;
5312;MUNDIAL S.A. - PRODUTOS DE CONSUMO;88.610.191/0001-54;Têxtil e Vestuário;9917976;MNDL3;Ordinárias;2023;DFP;1285218;464777;1285218;609351;38200;517378;15960;158489;761241;-477715;283526;-192185;91341;32300;481772;514072;605413;-66315;-229787;;;
5312;MUNDIAL S.A. - PRODUTOS DE CONSUMO;88.610.191/0001-54;Têxtil e Vestuário;9917976;MNDL3;Ordinárias;2024;DFP;1349974;514769;1349974;680671;40111;522648;30256;146655;836065;-520937;315128;-211633;103495;38183;-160487;-122304;-18809;-32894;-243888;;;
5380;ELECTRO ACO ALTONA S.A.;82.643.537/0001-34;Metalurgia e Siderurgia;9750000;EALT3;Ordinárias;2023;DFP;512986;180706;512986;182045;25983;115854;53718;215087;492141;-380582;111559;-52974;58585;7262;-22600;-15338;43247;79599;0;;;
5380;ELECTRO ACO ALTONA S.A.;82.643.537/0001-34;Metalurgia e Siderurgia;9750000;EALT3;Ordinárias;2024;DFP;560724;219742;560724;199060;32296;118088;56799;243576;495479;-377768;117711;-62687;55024;21608;-21999;-391;54633;53976;0;;;
5380;ELECTRO ACO ALTONA S.A.;82.643.537/0001-34;Metalurgia e Siderurgia;12750000; EALT4;Preferenciais;2023;DFP;512986;180706;512986;182045;25983;115854;53718;215087;492141;-380582;111559;-52974;58585;7262;-22600;-15338;43247;79599;0;;;
5380;ELECTRO ACO ALTONA S.A.;82.643.537/0001-34;Metalurgia e Siderurgia;12750000; EALT4;Preferenciais;2024;DFP;560724;219742;560724;199060;32296;118088;56799;243576;495479;-377768;117711;-62687;55024;21608;-21999;-391;54633;53976;0;;;
5410;WEG S.A.;84.429.695/0001-11;Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças;4195695973;WEGE3;Ordinárias;2023;DFP;28134660;19653210;28134660;10262877;466843;2623428;1151875;15248355;29904722;-21209235;8695487;-3643900;5051587;1197270;-1133215;64055;5115642;2936931;-2110718;;;
