CD_CVM;DENOM_CIA;CNPJ_CIA;SETOR_ATIV;Numero_Acoes;Ticker;Tipo_Acao;Ano;Versao;Ativo Total;Ativo Circulante;Passivo Total;Passivo Circulante;Empréstimos e Financiamentos - Circulante;Passivo Não Circulante;Empréstimos e Financiamentos - Não Circulante;Patrimônio Líquido Consolidado;Receita de Venda de Bens e/ou Serviços;Custo dos Bens e/ou Serviços Vendidos;Resultado Bruto;Resultado Antes do Resultado Financeiro e dos Tributos;Resultado Financeiro;Receitas Financeiras;Despesas Financeiras;Resultado Antes dos Tributos sobre o Lucro;Lucro/Prejuízo Consolidado do Período;Caixa Líquido Atividades Operacionais;Pagamento de Dividendos;Pagamento de Dividendos à Controladora;Pagamento de Dividendos a Acionistas Não Controladores;Pagamento de Juros sobre Capital Próprio
20931;MINERVA S.A.;67.620.377/0001-14;Alimentos;985090425;BEEF3;Ordinárias;2023;DFP;21400128;12986719;21400128;8129741;241398;12207892;11688535;1062495;30977769;-25240352;5737417;-3314182;2423235;187259;-2222385;-2035126;388109;3134692;-6923978;;;
20931;MINERVA S.A.;67.620.377/0001-14;Alimentos;985090425;BEEF3;Ordinárias;2024;DFP;28594154;18135700;28594154;9746503;271376;18188101;17762327;659550;26891609;-21378060;5513549;-3463351;2050198;386961;-2096006;-1709045;341153;2697488;-3808357;;;
20982;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;07.816.890/0001-53;Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração;488602479;MULT3;Ordinárias;2023;DFP;10877311;1779399;10877311;1295160;0;2999608;2502280;6582543;1797605;-338915;1458690;-390187;1068503;144756;-386560;-241804;826699;1203854;-100401;;;
20982;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;07.816.890/0001-53;Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração;488602479;MULT3;Ordinárias;2024;DFP;11536924;1985612;11536924;1402204;0;3200722;2695802;6933998;2029569;-293877;1735692;-377316;1358376;140939;-368281;-227342;1131034;1187600;-102418;;;
20982;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;07.816.890/0001-53;Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração;488602479;MULT3;Ordinárias;2023;DFP;10877311;1779399;10877311;1295160;0;2999608;2502280;6582543;1797605;-338915;1458690;-390187;1068503;144756;-386560;-241804;826699;1203854;-100401;;;
20982;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;07.816.890/0001-53;Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração;488602479;MULT3;Ordinárias;2024;DFP;11536924;1985612;11536924;1402204;0;3200722;2695802;6933998;2029569;-293877;1735692;-377316;1358376;140939;-368281;-227342;1131034;1187600;-102418;;;
21016;YDUQS PARTICIPACOES S.A.;08.807.432/0001-10;Emp. Adm. Part. - Educação;263014743;YDUQ3;Ordinárias;2023;DFP;9049207;2100461;9049207;1107611;137832;4981537;4528751;2960059;4564940;-1982472;2582468;-1965055;617413;211504;-916130;-704626;-87213;716865;233156;;;
21016;YDUQS PARTICIPACOES S.A.;08.807.432/0001-10;Emp. Adm. Part. - Educação;263014743;YDUQ3;Ordinárias;2024;DFP;9287596;2109291;9287596;1430185;252297;4800326;4335161;3057085;5147562;-2077284;3070278;-2265711;804567;308606;-1002904;-694298;110269;910651;1122840;;;
21016;YDUQS PARTICIPACOES S.A.;08.807.432/0001-10;Emp. Adm. Part. - Educação;263014743;YDUQ3;Ordinárias;2023;DFP;9049207;2100461;9049207;1107611;137832;4981537;4528751;2960059;4564940;-1982472;2582468;-1965055;617413;211504;-916130;-704626;-87213;716865;233156;;;
21016;YDUQS PARTICIPACOES S.A.;08.807.432/0001-10;Emp. Adm. Part. - Educação;263014743;YDUQ3;Ordinárias;2024;DFP;9287596;2109291;9287596;1430185;252297;4800326;4335161;3057085;5147562;-2077284;3070278;-2265711;804567;308606;-1002904;-694298;110269;910651;1122840;;;
21040;SYN PROP & TECH S.A.;08.801.621/0001-86;Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração;152644445;SYNE3;Ordinárias;2023;DFP;4075078;457240;4075078;94551;0;1406053;993267;2574474;474499;-267997;206502;-63566;142936;70974;-220019;-149045;-6109;17618;-384;;;
21040;SYN PROP & TECH S.A.;08.801.621/0001-86;Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração;152644445;SYNE3;Ordinárias;2024;DFP;4004467;416431;4004467;78883;0;1360208;949788;2565376;424708;-189942;234766;-62403;172363;60986;-190250;-129264;43099;74188;0;;;
21040;SYN PROP & TECH S.A.;08.801.621/0001-86;Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração;152644445;SYNE3;Ordinárias;2023;DFP;4075078;457240;4075078;94551;0;1406053;993267;2574474;474499;-267997;206502;-63566;142936;70974;-220019;-149045;-6109;17618;-384;;;
21040;SYN PROP & TECH S.A.;08.801.621/0001-86;Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração;152644445;SYNE3;Ordinárias;2024;DFP;4004467;416431;4004467;78883;0;1360208;949788;2565376;424708;-189942;234766;-62403;172363;60986;-190250;-129264;43099;74188;0;;;
21067;MOURA DUBEUX ENGENHARIA S/A;12.049.631/0001-84;Construção Civil, Mat. Constr. e Decoração;84582993;MDNE3;Ordinárias;2023;DFP;2819254;1064763;2819254;382836;25714;1258392;107684;1178026;799527;-533059;266468;-178907;87561;69923;-30028;39895;127456;77964;128496;;;
21067;MOURA DUBEUX ENGENHARIA S/A;12.049.631/0001-84;Construção Civil, Mat. Constr. e Decoração;84582993;MDNE3;Ordinárias;2024;DFP;3438225;1393879;3438225;584353;32164;1516291;245895;1337581;1151243;-751454;399789;-227943;171846;46814;-25458;21356;193202;-150737;322293;;;
